UTC time,state,latitude,N/S Indication,longitude,E/W indication,Ground speed,position,date,f2,f3
170428.300,A,54.6590578,N,020.6531403,E,0.000,26.58,190425,1.131,1.135,
170428.400,A,54.6590577,N,020.6531405,E,0.000,26.58,190425,1.132,1.136,
170428.500,A,54.6590573,N,020.6531405,E,0.000,26.58,190425,1.131,1.136,
170428.600,A,54.6590572,N,020.6531407,E,0.000,26.58,190425,1.133,1.137,
170428.700,A,54.6590570,N,020.6531407,E,0.000,26.58,190425,1.132,1.137,
170428.800,A,54.6590568,N,020.6531407,E,0.000,26.58,190425,1.133,1.137,
170428.900,A,54.6590565,N,020.6531405,E,0.000,26.58,190425,1.132,1.135,
170429.000,A,54.6590562,N,020.6531403,E,0.000,26.58,190425,1.132,1.137,
170429.100,A,54.6590560,N,020.6531403,E,0.000,26.58,190425,1.132,1.137,
170429.200,A,54.6590557,N,020.6531402,E,0.000,26.58,190425,1.132,1.136,
170429.300,A,54.6590553,N,020.6531400,E,0.000,26.58,190425,1.133,1.137,
170429.400,A,54.6590550,N,020.6531397,E,0.000,26.58,190425,1.132,1.137,
170429.500,A,54.6590547,N,020.6531393,E,0.000,26.58,190425,1.134,1.137,
170429.600,A,54.6590545,N,020.6531392,E,0.000,26.58,190425,1.134,1.138,
170429.700,A,54.6590542,N,020.6531390,E,0.000,26.58,190425,1.133,1.137,
170429.800,A,54.6590540,N,020.6531390,E,0.000,26.58,190425,1.134,1.138,
170429.900,A,54.6590540,N,020.6531392,E,0.000,26.58,190425,1.135,1.138,
170430.000,A,54.6590537,N,020.6531388,E,0.000,26.58,190425,1.132,1.137,
170430.100,A,54.6590535,N,020.6531387,E,0.000,26.58,190425,1.133,1.136,
170430.200,A,54.6590533,N,020.6531385,E,0.000,26.58,190425,1.131,1.135,
170430.300,A,54.6590530,N,020.6531385,E,0.000,26.58,190425,1.132,1.136,
170430.400,A,54.6590528,N,020.6531383,E,0.000,26.58,190425,1.132,1.136,
170430.500,A,54.6590527,N,020.6531382,E,0.000,26.58,190425,1.133,1.137,
170430.600,A,54.6590525,N,020.6531378,E,0.000,26.58,190425,1.133,1.138,
170430.700,A,54.6590523,N,020.6531378,E,0.000,26.58,190425,1.134,1.138,
170430.800,A,54.6590522,N,020.6531377,E,0.000,26.58,190425,1.135,1.138,
170430.900,A,54.6590520,N,020.6531375,E,0.000,26.58,190425,1.133,1.136,
170431.000,A,54.6590517,N,020.6531373,E,0.000,26.58,190425,1.133,1.136,
170431.100,A,54.6590512,N,020.6531365,E,0.000,26.58,190425,1.136,1.140,
170431.200,A,54.6590508,N,020.6531362,E,0.000,26.58,190425,1.135,1.139,
170431.300,A,54.6590505,N,020.6531358,E,0.000,26.58,190425,1.132,1.137,
170431.400,A,54.6590502,N,020.6531355,E,0.000,26.58,190425,1.133,1.137,
170431.500,A,54.6590498,N,020.6531352,E,0.000,26.58,190425,1.134,1.138,
170431.600,A,54.6590495,N,020.6531347,E,0.000,26.58,190425,1.134,1.138,
